x_by_lambda_0 z_by_lambda_0 G_EJ_xx G_HJ_xx G_EJ_xy G_HJ_xy G_EJ_xz G_HJ_xz G_EJ_yx G_HJ_yx G_EJ_yy G_HJ_yy G_EJ_yz G_HJ_yz G_EJ_zx G_HJ_zx G_EJ_zy G_HJ_zy G_EJ_zz G_HJ_zz 
-5 5.47458 0.0160946 -9.56446e-22 2.75424e-18 -7.12098e-05 0.0129855 6.42677e-21 2.75424e-18 6.33998e-05 0.0385847 9.56446e-22 -1.59027e-18 5.24786e-05 0.0175757 -8.97164e-21 -2.15241e-18 -7.3259e-05 0.0149659 0 
-5 5.64407 0.0157478 -8.66103e-22 2.33356e-18 -6.5195e-05 0.0112444 5.65722e-21 2.33356e-18 5.81227e-05 0.0348027 8.66103e-22 -1.37704e-18 4.61947e-05 0.0151248 -7.98859e-21 -1.85226e-18 -6.52318e-05 0.0133402 0 
-5 5.81356 0.00657372 -2.20806e-22 7.22862e-19 -2.33046e-05 0.00425766 2.30048e-21 7.22862e-19 2.15016e-05 0.0124763 2.20806e-22 -5.21413e-19 1.87848e-05 0.00481505 -2.88712e-21 -5.89674e-19 -2.35751e-05 0.00571068 0 
-5 5.98305 -0.00680177 5.12627e-22 -1.13562e-18 3.17275e-05 -0.00475437 -2.01195e-21 -1.13562e-18 -2.75416e-05 -0.0160748 -5.12627e-22 5.82243e-19 -1.64288e-05 -0.00787261 3.4677e-21 9.64117e-19 2.83159e-05 -0.00404671 0 
-5 6.15254 -0.0167036 8.3601e-22 -2.19267e-18 6.81605e-05 -0.0112943 -5.12415e-21 -2.19267e-18 -6.13339e-05 -0.0346081 -8.3601e-22 1.38315e-18 -4.18418e-05 -0.0158767 7.51284e-21 1.94433e-18 6.1347e-05 -0.0110387 0 
-5 6.32203 -0.0169106 5.6011e-22 -1.90473e-18 6.40869e-05 -0.011836 -5.43331e-21 -1.90473e-18 -5.95133e-05 -0.0324639 -5.6011e-22 1.4495e-18 -4.43664e-05 -0.0146312 7.04449e-21 1.7918e-18 5.75226e-05 -0.0118179 0 
-5 6.49153 -0.00680771 -7.92467e-23 -5.42908e-19 2.16478e-05 -0.00589931 -2.7924e-21 -5.42908e-19 -2.22949e-05 -0.0112409 7.92467e-23 7.22457e-19 -2.28017e-05 -0.00494208 2.53449e-21 6.0523e-19 2.06957e-05 -0.00624634 0 
-5 6.66102 0.00768284 -6.06833e-22 9.97872e-19 -3.31033e-05 0.00334183 1.31044e-21 9.97872e-19 2.81481e-05 0.0158311 6.06833e-22 -4.09256e-19 1.07006e-05 0.00728514 -3.14981e-21 -8.92172e-19 -2.57202e-05 0.00235147 0 
-5 6.83051 0.0174502 -6.56824e-22 1.7719e-18 -6.584e-05 0.0105778 4.51013e-21 1.7719e-18 6.04766e-05 0.0319189 6.56824e-22 -1.2954e-18 3.6828e-05 0.014556 -6.51365e-21 -1.78259e-18 -5.3188e-05 0.00899997 0 
-5 7 0.0160253 -2.29548e-22 1.37225e-18 -5.59033e-05 0.0114159 4.92314e-21 1.37225e-18 5.40289e-05 0.0272306 2.29548e-22 -1.39804e-18 4.02005e-05 0.0124831 -5.61537e-21 -1.52873e-18 -4.5853e-05 0.00993994 0 

-4.83051 -3 -0.00193204 -1.46719e-21 -4.77693e-19 -2.24461e-05 0.00600803 -4.0247e-21 -4.77693e-19 1.04656e-05 -0.0058327 1.46719e-21 -7.35772e-19 -3.28642e-05 0.00120738 1.78424e-21 -1.47861e-19 1.45694e-05 -0.00394015 0 
-4.83051 -2.83051 0.000177146 -4.8115e-22 -1.33291e-19 -3.87438e-06 0.001253 -9.82463e-22 -1.33291e-19 -5.45055e-08 -0.000911261 4.8115e-22 -1.53448e-19 -8.02242e-06 0.000109501 3.71851e-22 -1.341e-20 3.03639e-06 -0.00080362 0 
-4.83051 -2.66102 0.00196761 1.58897e-21 5.13921e-19 2.36394e-05 -0.00644249 4.31563e-21 5.13921e-19 -1.06645e-05 0.0061641 -1.58897e-21 7.88978e-19 3.52398e-05 -0.00123336 -1.89293e-21 1.51042e-19 -1.5457e-05 0.00425681 0 
-4.83051 -2.49153 -0.000142449 6.49154e-22 1.78786e-19 5.4603e-06 -0.0017723 1.34575e-21 1.78786e-19 -1.5955e-07 0.00131745 -6.49154e-22 2.17044e-19 1.09889e-05 -0.000136726 -5.0135e-22 1.67441e-20 -4.09384e-06 0.00115432 0 
-4.83051 -2.32203 -0.00200921 -1.70483e-21 -5.49121e-19 -2.48031e-05 0.00686241 -4.59673e-21 -5.49121e-19 1.08821e-05 -0.00649312 1.70483e-21 -8.40402e-19 -3.75352e-05 0.00125946 2.00133e-21 -1.54239e-19 1.63421e-05 -0.00457024 0 
-4.83051 -2.15254 9.0041e-05 -8.50085e-22 -2.34556e-19 -7.41961e-06 0.00241085 -1.79143e-21 -2.34556e-19 4.78138e-07 -0.00182525 8.50085e-22 -2.95244e-19 -1.46281e-05 0.00017751 6.64223e-22 -2.17387e-20 5.4238e-06 -0.00158963 0 
-4.83051 -1.98305 0.00205453 1.81084e-21 5.81254e-19 2.58818e-05 -0.00725198 4.85462e-21 5.81254e-19 -1.10952e-05 0.00680082 -1.81084e-21 8.88111e-19 3.9641e-05 -0.00128088 -2.10143e-21 1.56863e-19 -1.71595e-05 0.00486456 0 
-4.83051 -1.81356 -2.3243e-05 1.09024e-21 3.0129e-19 9.76619e-06 -0.00317745 2.3251e-21 3.0129e-19 -8.63668e-07 0.00243698 -1.09024e-21 3.89126e-19 1.89859e-05 -0.000224338 -8.60447e-22 2.74734e-20 -7.02609e-06 0.00211622 0 
-4.83051 -1.64407 -0.00210575 -1.8972e-21 -6.08164e-19 -2.68235e-05 0.0075924 -5.07436e-21 -6.08164e-19 1.13316e-05 -0.00707179 1.8972e-21 -9.29801e-19 -4.14353e-05 0.00130316 2.18767e-21 -1.59591e-19 1.78637e-05 -0.00512227 0 
-4.83051 -1.47458 -5.81857e-05 -1.36899e-21 -3.7847e-19 -1.24998e-05 0.00407542 -2.9459e-21 -3.7847e-19 1.32123e-06 -0.00314863 1.36899e-21 -4.99095e-19 -2.40551e-05 0.000277903 1.08714e-21 -3.40333e-20 8.87716e-06 -0.00273066 0 
-4.83051 -1.30508 0.00216456 1.95731e-21 6.29113e-19 2.75929e-05 -0.00786756 5.24728e-21 6.29113e-19 -1.16103e-05 0.00730165 -1.95731e-21 9.63498e-19 4.28473e-05 -0.00133032 -2.26052e-21 1.62917e-19 -1.84586e-05 0.00533745 0 
-4.83051 -1.13559 0.000157204 1.68476e-21 4.66836e-19 1.56413e-05 -0.00511059 3.65868e-21 4.66836e-19 -1.88424e-06 0.00396921 -1.68476e-21 6.25867e-19 2.98754e-05 -0.000344646 -1.34836e-21 4.2207e-20 -1.10102e-05 0.00343956 0 
-4.83051 -0.966102 -0.00222906 -1.98785e-21 -6.42527e-19 -2.81341e-05 0.00805728 -5.36001e-21 -6.42527e-19 1.19021e-05 -0.00747569 1.98785e-21 -9.86732e-19 -4.37678e-05 0.00135664 2.31523e-21 -1.66141e-19 1.89053e-05 -0.00549779 0 
