x_by_lambda_0 z_by_lambda_0 g_tm_full_log g_tm_refl_re g_te_full_log g_te_refl_re
2.898551e-01 5.144928e+00 -7.337740e+01 -2.397752e-04 -7.336275e+01 -2.398818e-04
2.898551e-01 5.260870e+00 -7.376939e+01 5.295299e-05 -7.375465e+01 5.255193e-05
2.898551e-01 5.376812e+00 -7.415208e+01 3.087250e-04 -7.413726e+01 3.082464e-04
2.898551e-01 5.492754e+00 -7.452590e+01 4.017638e-04 -7.451101e+01 4.014471e-04
2.898551e-01 5.608696e+00 -7.489126e+01 2.915516e-04 -7.487631e+01 2.915407e-04
2.898551e-01 5.724638e+00 -7.524854e+01 3.994566e-05 -7.523351e+01 4.022518e-05
2.898551e-01 5.840580e+00 -7.559807e+01 -2.230490e-04 -7.558299e+01 -2.226353e-04
2.898551e-01 5.956522e+00 -7.594020e+01 -3.661445e-04 -7.592506e+01 -3.658082e-04
2.898551e-01 6.072464e+00 -7.627522e+01 -3.220375e-04 -7.626003e+01 -3.219387e-04
2.898551e-01 6.188406e+00 -7.660344e+01 -1.187657e-04 -7.658819e+01 -1.189377e-04
2.898551e-01 6.304348e+00 -7.692510e+01 1.373065e-04 -7.690980e+01 1.369649e-04
2.898551e-01 6.420290e+00 -7.724048e+01 3.168810e-04 -7.722514e+01 3.165481e-04
2.898551e-01 6.536232e+00 -7.754982e+01 3.327840e-04 -7.753442e+01 3.326230e-04
2.898551e-01 6.652174e+00 -7.785332e+01 1.820664e-04 -7.783789e+01 1.821461e-04
2.898551e-01 6.768116e+00 -7.815122e+01 -5.507947e-05 -7.813575e+01 -5.481228e-05
2.898551e-01 6.884058e+00 -7.844371e+01 -2.577489e-04 -7.842820e+01 -2.574367e-04
2.898551e-01 7.000000e+00 -7.873099e+01 -3.257725e-04 -7.871544e+01 -3.255716e-04

4.347826e-01 -1.000000e+00 -3.338408e+03 3.725221e-166 -3.339498e+03 3.693513e-166
4.347826e-01 -8.840580e-01 -2.961138e+03 2.841991e-147 -2.962229e+03 2.819537e-147
4.347826e-01 -7.681159e-01 -2.583868e+03 2.157557e-128 -2.584961e+03 2.141727e-128
4.347826e-01 -6.521739e-01 -2.206599e+03 1.630538e-109 -2.207692e+03 1.619428e-109
4.347826e-01 -5.362319e-01 -1.829329e+03 1.227040e-90 -1.830423e+03 1.219284e-90
4.347826e-01 -4.202899e-01 -1.452059e+03 9.197163e-72 -1.453154e+03 9.143309e-72
4.347826e-01 -3.043478e-01 -1.074789e+03 6.867586e-53 -1.075885e+03 6.830426e-53
4.347826e-01 -1.884058e-01 -6.975187e+02 5.109532e-34 -6.986156e+02 5.084068e-34
4.347826e-01 -7.246377e-02 -3.202487e+02 3.788285e-15 -3.213465e+02 3.770974e-15
4.347826e-01 4.347826e-02 -5.797249e+01 -1.545469e-03 -5.808261e+01 -1.552425e-03
4.347826e-01 1.594203e-01 -4.806002e+01 -1.147017e-04 -4.808811e+01 -1.267965e-04
4.347826e-01 2.753623e-01 -4.588121e+01 1.145324e-03 -4.588967e+01 1.133997e-03
4.347826e-01 3.913043e-01 -4.726530e+01 1.739049e-03 -4.725713e+01 1.732512e-03
4.347826e-01 5.072464e-01 -5.123454e+01 1.500273e-03 -5.120875e+01 1.499776e-03
4.347826e-01 6.231884e-01 -4.901971e+01 6.324837e-04 -4.902710e+01 6.367080e-04
4.347826e-01 7.391304e-01 -4.478956e+01 -4.118439e-04 -4.479908e+01 -4.057344e-04
4.347826e-01 8.550725e-01 -4.296392e+01 -1.149963e-03 -4.296886e+01 -1.144920e-03
4.347826e-01 9.710145e-01 -4.281208e+01 -1.283192e-03 -4.281281e+01 -1.281109e-03
4.347826e-01 1.086957e+00 -4.370199e+01 -8.127575e-04 -4.369945e+01 -8.139213e-04
4.347826e-01 1.202899e+00 -4.516102e+01 -1.278334e-05 -4.515617e+01 -1.606309e-05
4.347826e-01 1.318841e+00 -4.685277e+01 7.171280e-04 -4.684635e+01 7.135550e-04
4.347826e-01 1.434783e+00 -4.857509e+01 1.044549e-03 -4.856755e+01 1.042308e-03
4.347826e-01 1.550725e+00 -5.022956e+01 8.513926e-04 -5.022118e+01 8.512539e-04
4.347826e-01 1.666667e+00 -5.177925e+01 2.715580e-04 -5.177020e+01 2.732404e-04
4.347826e-01 1.782609e+00 -5.321715e+01 -3.906251e-04 -5.320754e+01 -3.881653e-04
4.347826e-01 1.898551e+00 -5.454877e+01 -8.152712e-04 -5.453869e+01 -8.132667e-04
4.347826e-01 2.014493e+00 -5.578391e+01 -8.182402e-04 -5.577341e+01 -8.175387e-04
4.347826e-01 2.130435e+00 -5.693309e+01 -4.284502e-04 -5.692221e+01 -4.291898e-04
4.347826e-01 2.246377e+00 -5.800618e+01 1.402978e-04 -5.799496e+01 1.386533e-04
4.347826e-01 2.362319e+00 -5.901193e+01 6.030852e-04 -5.900040e+01 6.014152e-04
4.347826e-01 2.478261e+00 -5.995796e+01 7.442158e-04 -5.994615e+01 7.432986e-04
4.347826e-01 2.594203e+00 -6.085080e+01 5.159904e-04 -6.083872e+01 5.161603e-04
4.347826e-01 2.710145e+00 -6.169605e+01 5.137287e-05 -6.168372e+01 5.242017e-05
4.347826e-01 2.826087e+00 -6.249851e+01 -4.105651e-04 -6.248596e+01 -4.092335e-04
4.347826e-01 2.942029e+00 -6.326235e+01 -6.458806e-04 -6.324958e+01 -6.449230e-04
4.347826e-01 3.057971e+00 -6.399112e+01 -5.529942e-04 -6.397816e+01 -5.528209e-04
4.347826e-01 3.173913e+00 -6.468797e+01 -1.951321e-04 -6.467482e+01 -1.957409e-04
4.347826e-01 3.289855e+00 -6.535560e+01 2.390825e-04 -6.534228e+01 2.380616e-04
4.347826e-01 3.405797e+00 -6.599640e+01 5.336915e-04 -6.598292e+01 5.327851e-04
4.347826e-01 3.521739e+00 -6.661249e+01 5.517717e-04 -6.659885e+01 5.513997e-04
4.347826e-01 3.637681e+00 -6.720572e+01 2.981843e-04 -6.719194e+01 2.984723e-04
4.347826e-01 3.753623e+00 -6.777777e+01 -8.965719e-05 -6.776385e+01 -8.890921e-05
4.347826e-01 3.869565e+00 -6.833011e+01 -4.151455e-04 -6.831606e+01 -4.143379e-04
4.347826e-01 3.985507e+00 -6.886408e+01 -5.213260e-04 -6.884991e+01 -5.208511e-04
4.347826e-01 4.101449e+00 -6.938088e+01 -3.659170e-04 -6.936660e+01 -3.659734e-04
4.347826e-01 4.217391e+00 -6.988159e+01 -3.694531e-05 -6.986720e+01 -3.745991e-05
4.347826e-01 4.333333e+00 -7.036721e+01 2.960822e-04 -7.035271e+01 2.953958e-04
4.347826e-01 4.449275e+00 -7.083861e+01 4.688637e-04 -7.082402e+01 4.683507e-04
4.347826e-01 4.565217e+00 -7.129662e+01 4.028293e-04 -7.128194e+01 4.027230e-04
4.347826e-01 4.681159e+00 -7.174199e+01 1.402870e-04 -7.172722e+01 1.406065e-04
4.347826e-01 4.797101e+00 -7.217540e+01 -1.812443e-04 -7.216055e+01 -1.806868e-04
4.347826e-01 4.913043e+00 -7.259748e+01 -4.005290e-04 -7.258255e+01 -4.000218e-04
4.347826e-01 5.028986e+00 -7.300882e+01 -4.130303e-04 -7.299381e+01 -4.128153e-04
4.347826e-01 5.144928e+00 -7.340994e+01 -2.203470e-04 -7.339486e+01 -2.205071e-04
4.347826e-01 5.260870e+00 -7.380134e+01 7.451846e-05 -7.378620e+01 7.408819e-05
4.347826e-01 5.376812e+00 -7.418349e+01 3.217555e-04 -7.416829e+01 3.212835e-04
4.347826e-01 5.492754e+00 -7.455682e+01 4.004944e-04 -7.454156e+01 4.002134e-04
4.347826e-01 5.608696e+00 -7.492172e+01 2.775851e-04 -7.490640e+01 2.776187e-04
4.347826e-01 5.724638e+00 -7.527856e+01 2.096816e-05 -7.526319e+01 2.127879e-05
