z_by_lambda_0 V_re V_im I_re I_im Z_rel_re Z_rel_im
-0.663329 4.680613e+01 3.998498e+00 -3.750684e-01 -1.121462e-02 -3.318039e-01 -1.837700e-02
-0.655820 4.613242e+01 1.065504e+01 -3.726356e-01 -6.460146e-02 -3.318039e-01 -1.837700e-02
-0.648310 4.451228e+01 1.720081e+01 -3.626056e-01 -1.175229e-01 -3.318039e-01 -1.837700e-02
-0.640801 4.196359e+01 2.350128e+01 -3.450616e-01 -1.688981e-01 -3.318039e-01 -1.837700e-02
-0.633292 3.852337e+01 2.942475e+01 -3.202407e-01 -2.176604e-01 -3.318039e-01 -1.837700e-02
-0.625782 3.424727e+01 3.484513e+01 -2.885310e-01 -2.627794e-01 -3.318039e-01 -1.837700e-02
-0.618273 2.920881e+01 3.964448e+01 -2.504667e-01 -3.032822e-01 -3.318039e-01 -1.837700e-02
-0.610763 2.349813e+01 4.371563e+01 -2.067195e-01 -3.382742e-01 -3.318039e-01 -1.837700e-02
-0.603254 1.722041e+01 4.696448e+01 -1.580867e-01 -3.669584e-01 -3.318039e-01 -1.837700e-02
-0.595745 1.049404e+01 4.931210e+01 -1.054775e-01 -3.886531e-01 -3.318039e-01 -1.837700e-02
-0.588235 3.448332e+00 5.069662e+01 -4.989608e-02 -4.028076e-01 -3.318039e-01 -1.837700e-02
-0.580726 -3.778834e+00 5.107471e+01 7.577157e-03 -4.090154e-01 -3.318039e-01 -1.837700e-02
-0.573217 -1.104374e+01 5.042276e+01 6.580635e-02 -4.070249e-01 -3.318039e-01 -1.837700e-02
-0.565707 -1.819961e+01 4.873771e+01 1.236223e-01 -3.967467e-01 -3.318039e-01 -1.837700e-02
-0.558198 -2.509957e+01 4.603738e+01 1.798458e-01 -3.782581e-01 -3.318039e-01 -1.837700e-02
-0.550688 -3.159962e+01 4.236046e+01 2.333111e-01 -3.518041e-01 -3.318039e-01 -1.837700e-02
-0.543179 -3.756157e+01 3.776610e+01 2.828900e-01 -3.177953e-01 -3.318039e-01 -1.837700e-02
-0.535670 -4.285597e+01 3.233297e+01 3.275154e-01 -2.768020e-01 -3.318039e-01 -1.837700e-02
-0.528160 -4.736486e+01 2.615799e+01 3.662037e-01 -2.295452e-01 -3.318039e-01 -1.837700e-02
-0.520651 -5.098435e+01 1.935468e+01 3.980762e-01 -1.768842e-01 -3.318039e-01 -1.837700e-02
-0.513141 -5.362695e+01 1.205109e+01 4.223784e-01 -1.198017e-01 -3.318039e-01 -1.837700e-02
-0.505632 -5.522359e+01 4.387456e+00 4.384976e-01 -5.938573e-02 -3.318039e-01 -1.837700e-02
-0.498123 -5.572533e+01 -3.486469e+00 4.459773e-01 3.191106e-03 -3.318039e-01 -1.837700e-02
-0.490613 -5.510465e+01 -1.141430e+01 4.445290e-01 6.669365e-02 -3.318039e-01 -1.837700e-02
-0.483104 -5.335640e+01 -1.923607e+01 4.340409e-01 1.298484e-01 -3.318039e-01 -1.837700e-02
-0.475594 -5.049817e+01 -2.679145e+01 4.145825e-01 1.913689e-01 -3.318039e-01 -1.837700e-02
-0.468085 -4.657039e+01 -3.392297e+01 3.864066e-01 2.499813e-01 -3.318039e-01 -1.837700e-02
-0.460576 -4.163579e+01 -4.047926e+01 3.499468e-01 3.044507e-01 -3.318039e-01 -1.837700e-02
-0.453066 -3.577853e+01 -4.631822e+01 3.058115e-01 3.536066e-01 -3.318039e-01 -1.837700e-02
-0.445557 -2.910283e+01 -5.131006e+01 2.547744e-01 3.963679e-01 -3.318039e-01 -1.837700e-02
-0.438048 -2.173114e+01 -5.534013e+01 1.977617e-01 4.317659e-01 -3.318039e-01 -1.837700e-02
-0.430538 -1.380197e+01 -5.831144e+01 1.358351e-01 4.589661e-01 -3.318039e-01 -1.837700e-02
-0.423029 -5.467335e+00 -6.014697e+01 7.017308e-02 4.772870e-01 -3.318039e-01 -1.837700e-02
-0.415519 3.110113e+00 -6.079152e+01 2.048374e-03 4.862164e-01 -3.318039e-01 -1.837700e-02
-0.408010 1.176023e+01 -6.021315e+01 -6.719612e-02 4.854246e-01 -3.318039e-01 -1.837700e-02
-0.400501 2.030872e+01 -5.840425e+01 -1.361736e-01 4.747738e-01 -3.318039e-01 -1.837700e-02
-0.392991 2.858055e+01 -5.538202e+01 -2.034805e-01 4.543239e-01 -3.318039e-01 -1.837700e-02
-0.385482 3.640357e+01 -5.118858e+01 -2.677254e-01 4.243347e-01 -3.318039e-01 -1.837700e-02
-0.377972 4.361198e+01 -4.589043e+01 -3.275564e-01 3.852635e-01 -3.318039e-01 -1.837700e-02
-0.370463 5.004985e+01 -3.957758e+01 -3.816901e-01 3.377591e-01 -3.318039e-01 -1.837700e-02
