z_by_lambda_0 rho_by_lambda_0 rel_err_db_tm rel_err_db_te abs_ref_tm abs_ref_te
7.246377e-01 2.632024e+02 -3.560870e+01 -7.253092e+01 9.809817e-06 9.991591e-06
7.246377e-01 3.007883e+02 -3.545995e+01 -7.241355e+01 8.613783e-06 8.753265e-06
7.246377e-01 3.437414e+02 -3.532974e+01 -7.231083e+01 7.560291e-06 7.667292e-06
7.246377e-01 3.928284e+02 -3.521577e+01 -7.222091e+01 6.633126e-06 6.715191e-06
7.246377e-01 4.489251e+02 -3.511603e+01 -7.214219e+01 5.817735e-06 5.880662e-06
7.246377e-01 5.130326e+02 -3.502873e+01 -7.207326e+01 5.101097e-06 5.149340e-06
7.246377e-01 5.862947e+02 -3.495233e+01 -7.201292e+01 4.471601e-06 4.508581e-06
7.246377e-01 6.700188e+02 -3.488547e+01 -7.196011e+01 3.918917e-06 3.947260e-06
7.246377e-01 7.656988e+02 -3.482695e+01 -7.191384e+01 3.433877e-06 3.455597e-06
7.246377e-01 8.750422e+02 -3.477575e+01 -7.187335e+01 3.008359e-06 3.025002e-06
7.246377e-01 1.000000e+03 -3.473094e+01 -7.183785e+01 2.635178e-06 2.647930e-06

1.086957e+00 1.000000e-01 -1.294218e+02 -1.456099e+02 3.471963e-04 3.390025e-04
1.086957e+00 1.142802e-01 -1.296707e+02 -1.458941e+02 3.469427e-04 3.390210e-04
1.086957e+00 1.305997e-01 -1.299940e+02 -1.462629e+02 3.466118e-04 3.390450e-04
1.086957e+00 1.492496e-01 -1.304119e+02 -1.467390e+02 3.461804e-04 3.390763e-04
1.086957e+00 1.705627e-01 -1.309468e+02 -1.473462e+02 3.456181e-04 3.391169e-04
1.086957e+00 1.949194e-01 -1.316178e+02 -1.481019e+02 3.448859e-04 3.391697e-04
1.086957e+00 2.227543e-01 -1.324239e+02 -1.489924e+02 3.439330e-04 3.392381e-04
1.086957e+00 2.545641e-01 -1.332994e+02 -1.499129e+02 3.426944e-04 3.393265e-04
1.086957e+00 2.909163e-01 -1.340292e+02 -1.505767e+02 3.410868e-04 3.394405e-04
1.086957e+00 3.324598e-01 -1.342170e+02 -1.505684e+02 3.390038e-04 3.395867e-04
1.086957e+00 3.799357e-01 -1.335889e+02 -1.497815e+02 3.363116e-04 3.397735e-04
1.086957e+00 4.341913e-01 -1.323884e+02 -1.486280e+02 3.328424e-04 3.400102e-04
1.086957e+00 4.961948e-01 -1.311047e+02 -1.475810e+02 3.283900e-04 3.403073e-04
1.086957e+00 5.670524e-01 -1.300373e+02 -1.468549e+02 3.227043e-04 3.406756e-04
1.086957e+00 6.480286e-01 -1.291943e+02 -1.463731e+02 3.154906e-04 3.411242e-04
1.086957e+00 7.405685e-01 -1.283156e+02 -1.458287e+02 3.064123e-04 3.416578e-04
1.086957e+00 8.463232e-01 -1.270869e+02 -1.450175e+02 2.951036e-04 3.422713e-04
1.086957e+00 9.671799e-01 -1.255314e+02 -1.441511e+02 2.811936e-04 3.429425e-04
1.086957e+00 1.105295e+00 -1.238898e+02 -1.435141e+02 2.643464e-04 3.436209e-04
1.086957e+00 1.263134e+00 -1.222074e+02 -1.431956e+02 2.443194e-04 3.442145e-04
1.086957e+00 1.443512e+00 -1.204567e+02 -1.434434e+02 2.210341e-04 3.445745e-04
1.086957e+00 1.649648e+00 -1.188048e+02 -1.450535e+02 1.946538e-04 3.444832e-04
